347153,1,9.00,-55.00,-2.08,0.00,-2.62,0.00,6.0479,5.7674,-0.165,-0.048
347203,1,6.00,-58.00,-1.81,0.00,-1.16,0.00,6.0410,5.7674,-0.168,-0.048
347253,1,3.00,-61.00,-1.18,0.00,-1.56,0.00,6.0282,5.7674,-0.160,-0.048
347303,1,3.00,-63.00,-1.01,0.00,0.00,0.00,6.0260,5.7674,-0.171,-0.048
347353,1,-3.00,-75.00,0.00,0.00,0.00,0.00,6.0259,5.7674,-0.185,-0.048
347403,0,-3.00,-75.00,0.00,0.00,0.00,0.00,6.0308,5.7672,-0.200,-0.048
347453,0,-3.00,-75.00,0.00,0.00,0.00,0.00,6.0310,5.7672,-0.201,-0.048
347503,0,-3.00,-75.00,0.00,0.00,0.00,0.00,6.0328,5.7672,-0.207,-0.047
347553,0,-3.00,-75.00,0.00,0.00,0.06,0.00,6.0295,5.7672,-0.196,-0.047
347603,0,-3.00,-75.00,0.00,0.00,0.00,0.00,6.0293,5.7672,-0.194,-0.047
347653,0,-3.00,-75.00,0.00,0.00,-0.18,0.00,6.0282,5.7672,-0.188,-0.047
347703,0,-3.00,-75.00,0.00,0.00,0.00,0.00,6.0280,5.7672,-0.190,-0.047
347753,0,-3.00,-75.00,0.00,0.00,0.00,0.00,6.0280,5.7672,-0.190,-0.047
347803,0,-3.00,-75.00,0.00,0.00,0.00,0.00,6.0278,5.7672,-0.189,-0.047
347853,0,-3.00,-75.00,0.00,0.00,0.00,0.00,6.0278,5.7672,-0.189,-0.047
347903,0,-3.00,-75.00,0.00,0.00,0.00,0.00,6.0285,5.7672,-0.192,-0.047
347953,0,-3.00,-75.00,0.00,0.00,0.00,0.00,6.0285,5.7672,-0.192,-0.047
348003,0,-3.00,-75.00,0.00,0.00,0.00,0.00,6.0285,5.7672,-0.192,-0.048
348053,0,-3.00,-75.00,0.00,0.00,0.00,0.00,6.0285,5.7672,-0.192,-0.047
348103,0,-3.00,-75.00,0.00,0.00,0.00,0.00,6.0285,5.7672,-0.192,-0.048
348153,0,-3.00,-75.00,0.00,0.00,-0.98,0.00,6.0260,5.7672,-0.183,-0.047
348203,0,-3.00,-75.00,0.00,0.00,0.00,0.00,6.0249,5.7672,-0.178,-0.047
348253,0,-3.00,-75.00,0.00,0.00,0.00,0.00,6.0253,5.7672,-0.179,-0.047
348303,1,-19.00,-82.00,0.00,0.00,0.00,0.00,6.0253,5.7672,-0.180,-0.048
348353,1,-18.00,-81.00,2.00,0.00,0.00,0.00,6.0251,5.7672,-0.179,-0.047
